name,type,latitude,longitude,address,businessStatus,estbDate,facilityId,welfacilityId
안성중학교,62 - 중학교,35.87032408,127.6537838,전북특별자치도 무주군 안성면 구량천로 147,영업,20130629,20155754223,4573032024-1-09070021
칠량중학교,62 - 중학교,0,0,전라남도 강진군 칠량면 칠량로 4-18,영업,19980411,20155754270,4681032026-1-06000000
태인중학교,62 - 중학교,35.65261885,126.9389432,전북특별자치도 정읍시 석지로1469,영업,20150514,20155756647,4518039024-1-06270005
강경중학교,62 - 중학교,36.1484243,127.0083211,충청남도 논산시 강경읍 계백로 28,영업,20150903,20155754360,4423025031-1-05110000
전주양현중학교,62 - 중학교,35.84777267,127.0747011,전북특별자치도 전주시 덕진구 만성북4길 10,영업,20200227,20155754377,4511313100-1-13570001
남목중학교,62 - 중학교,35.53881782,129.4234895,울산광역시 동구 방어진순환도로 1155,영업,20070226,20155752082,3117010800-1-05680000
양촌중학교,62 - 중학교,37.55032708,126.7450048,인천광역시 계양구 장제로948번길 13,영업,20021119,20155754417,2824510700-1-00120000
목포청호중학교,62 - 중학교,34.81606268,126.3907871,전라남도 목포시 연산백련로31번길 15,영업,20160829,20155754435,4611010300-1-19840000
중학교,62 - 중학교,36.19826432,127.0858098,충청남도 논산시 시민로397번길 28,영업,20100908,20155752116,4423010400-1-00500000
인천예일중학교,62 - 중학교,0,0,인천광역시 계양구 장제로995번길 39,영업,20020709,20155754650,2824510800-1-00270008
갈보리교회 아동센터,63 - 지역아동센터,37.39049421,127.1328885,경기도 성남시 분당구 이매로 132 주변,영업,20091116,20155894732,4113510600-1-03550003
스포라이프 스포츠센타,63 - 지역아동센터,0,0,경기도 성남시 분당구 내정로 58,영업,20110723,20155894849,4113510300-3-01170001
꿈자리지역아동센터,63 - 지역아동센터,0,0,충청남도 아산시 삼동로28번길 55-6,영업,20131231,20155761526,4420011300-1-05690005
성가지역아동센터,63 - 지역아동센터,35.3971493,126.4489785,전라남도 영광군 홍농읍 홍농로 484-5,영업,20100423,20155761885,4687025621-1-02110000
한아름지역아동센터,63 - 지역아동센터,35.01137002,126.7962605,전라남도 나주시 그린로 276, 406동 102호 (빛가람동, LH아파트),영업,20101224,20155773756,4617013400-3-08500000
나주시다함께돌봄센터 3호점,63 - 지역아동센터,35.02033711,126.7151977,전라남도 나주시 송월18길 10 (송월동, 양우내안애 센텀시티아파트),영업,20121214,20155788069,4617010200-3-11420000
빛누리지역아동센터,63 - 지역아동센터,35.02758737,126.7792614,전라남도 나주시 한빛로 61, 113동 101호 (빛가람동, 빛가람우미린아파트),영업,20130625,20155794504,4617013400-3-01350000
빛가람지역아동센터,63 - 지역아동센터,35.00775634,126.787662,전라남도 나주시 월정5길 31-5 (빛가람동),영업,20140408,20155791844,4617013400-1-06280002
비금희망찬공립형지역아동센터,63 - 지역아동센터,34.75365916,125.9292412,전라남도 신안군 비금면 비금북부길 8-1,영업,20200205,20155792441,4691034025-1-01370000
지리산여성농업인종합지원센터,63 - 지역아동센터,0,0,전북특별자치도 남원시 인월면 상우길 48,영업,20120917,20155794255,4519047027-1-03040054
증평지역아동센터,63 - 지역아동센터,36.78259407,127.5841721,충청북도 증평군 증평읍 신교길 46,영업,20120209,20155745627,4374525021-1-02470000
꿈터지역아동센뒤,63 - 지역아동센터,0,0,충청남도 서천군 서천읍 군청안길3번길 47,영업,20170419,20155794570,4477025321-1-04120000
지역아동센터,63 - 지역아동센터,35.46457989,127.600695,전북특별자치도 남원시 인월장터로 56,영업,20141015,20155794751,4519047023-1-06410004
종암 대평빌딩,63 - 지역아동센터,37.6000941,127.0343405,서울특별시 성북구 종암로 110,영업,20150513,20155803115,1129013500-1-00031192
H빌딩,63 - 지역아동센터,37.60304009,127.0320143,서울특별시 성북구 종암로 147,영업,20131224,20155803349,1129013500-1-01240129
부전1동주민센터·부산진구 청소년 문화센터,63 - 지역아동센터,0,0,부산광역시 부산진구 범전로5번길 13,영업,20160428,20155824364,2623010300-1-00250001
똘레랑스 지역아동센터,63 - 지역아동센터,0,0,서동로24길 40,영업,20110519,20155835906,4514011100-1-06540000
